commonname,lengthM,weight,age,sex,date,country,habitat,conservation
Central African Slender-snouted Crocodile,2.1,87.2,Adult,Male,27-03-2014,Eq. Guinea,Swamps,Endangered
Central African Slender-snouted Crocodile,2.08,88.4,Adult,Female,03-11-2005,Eq. Guinea,Swamps,Endangered
Central African Slender-snouted Crocodile,2.22,95.0,Subadult,Male,04-08-2020,Eq. Guinea,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,2.72,155.3,Adult,Female,29-12-2009,Eq. Guinea,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,1.13,40.5,Juvenile,Female,20-09-2007,Eq. Guinea,Swamps,Endangered
Central African Slender-snouted Crocodile,1.98,81.8,Subadult,Male,27-03-2007,Eq. Guinea,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,2.67,133.4,Adult,Male,30-06-2020,Eq. Guinea,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,2.24,99.8,Subadult,Male,07-11-2023,Eq. Guinea,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,0.47,34.5,Hatchling,Male,14-01-2011,Eq. Guinea,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,2.51,103.1,Adult,Unknown,09-02-2019,Eq. Guinea,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,1.6,56.3,Juvenile,Male,05-10-2020,Eq. Guinea,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,2.52,123.3,Adult,Male,18-03-2012,Eq. Guinea,Swamps,Endangered
Central African Slender-snouted Crocodile,2.22,83.9,Subadult,Unknown,10-02-2012,Eq. Guinea,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,2.25,79.1,Adult,Male,12-05-2024,Eq. Guinea,Swamps,Endangered
Central African Slender-snouted Crocodile,1.1,37.7,Juvenile,Male,11-09-2018,Eq. Guinea,Swamps,Endangered
Central African Slender-snouted Crocodile,2.27,88.4,Subadult,Unknown,03-08-2017,Eq. Guinea,Swamps,Endangered
Central African Slender-snouted Crocodile,0.19,25.8,Hatchling,Female,08-10-2005,Eq. Guinea,Forest Rivers,Endangered
Central African Slender-snouted Crocodile,3.02,179.1,Adult,Female,31-05-2010,Eq. Guinea,Swamps,Endangered
